LSE/CSSG,"CROMA SECURITY share price (CSSG), Currency GBX"
LSE/CRPR,"CROPPER (J) share price (CRPR), Currency GBX"
LSE/CSR,CSR PLC (CSR)
LSE/CUP,CASTLE STREET share price (CSI) (CUP)
LSE/CVSG,"CVS GROUP share price (CVSG), Currency GBX"
LSE/CYAN,"CYANCONNODE share price (CYAN), Currency GBX"
LSE/CRX,"CYPROTEX share price (CRX), Currency GBX"
LSE/DJAN,"DAEJAN HLDGS share price (DJAN), Currency GBX"
LSE/DAIP,"DAILY INTERNET share price (DAIP), Currency GBX"
LSE/DMGT,"DAILY MAIL'A' share price (DMGT), Currency GBX"
LSE/DCG,"DAIRY CREST share price (DCG), Currency GBX"
LSE/DAY,Daisy Group Plc (DAY)
LSE/DAN,DANIEL STEWART share price (DAN) (DAN)
LSE/DTG,"DART GROUP share price (DTG), Currency GBX"
LSE/DRTY,"DARTY share price (DRTY), Currency GBX"
LSE/DTC,"DATATEC share price (DTC), Currency GBX"
LSE/DCC,"DCC share price (DCC), Currency GBX"
LSE/DCD,"DCD MEDIA share price (DCD), Currency GBX"
LSE/DDD,"DDD GROUP share price (DDD), Currency GBX"
LSE/DLAR,"DE LA RUE share price (DLAR), Currency GBX"
LSE/DEB,"DEBENHAMS share price (DEB), Currency GBX"
LSE/DPH,"DECHRA PHARM share price (DPH), Currency GBX"
LSE/DVW,"DEE VALLEY GRP share price (DVW), Currency GBX"
LSE/DVWA,"DEE VALLEY NV share price (DVWA), Currency GBX"
LSE/DKL,"DEKELOIL share price (DKL), Currency GBX"
LSE/DEMG,"DELTEX MEDICAL share price (DEMG), Currency GBX"
LSE/DSN,DENSITRON TECHNOLOGIES PLC (DSN)
LSE/DSC,U AND I GROUP share price (UAI) (DSC)
LSE/DVO,"DEVRO share price (DVO), Currency GBX"
LSE/DWHT,"DEWHURST share price (DWHT), Currency GBX"
LSE/DWHA,"DEWHURST 'A' share price (DWHA), Currency GBX"
LSE/DGE,"DIAGEO share price (DGE), Currency GBX"
LSE/DIA,"DIALIGHT share price (DIA), Currency GBX"
LSE/DCP,"DIAMONDCORP share price (DCP), Currency GBX"
LSE/DGB,"DIGITAL BARRIER share price (DGB), Currency GBX"
LSE/DGS,"DIGITAL GLOBE share price (DGS), Currency GBX"
LSE/DTY,"DIGNITY share price (DTY), Currency GBX"
LSE/DSG,"DILLISTONE share price (DSG), Currency GBX"
LSE/DPLM,"DIPLOMA share price (DPLM), Currency GBX"
LSE/DLG,"DIRECT LINE share price (DLG), Currency GBX"
LSE/DXNS,Dixons Retail Plc (DXNS)
LSE/DODS,"DODS GROUP share price (DODS), Currency GBX"
LSE/DCI,"DOLPHIN CAPITAL share price (DCI), Currency GBX"
LSE/DNO,Domino Printing Sciences Plc (DNO)
LSE/DOM,"DOMINO'S PIZZA share price (DOM), Currency GBX"
LSE/DOR,DORIEMUS share price (DOR) (DOR)
LSE/DOTD,"DOTDIGITAL share price (DOTD), Currency GBX"
LSE/DPP,"DP POLAND share price (DPP), Currency GBX"
LSE/DPW,Dp World Limited (DPW)
LSE/DRG,"DRAGANFLY share price (DRG), Currency GBX"
LSE/DGO,DRAGON OIL PLC (DGO)
LSE/DRX,"DRAX share price (DRX), Currency GBX"
LSE/DRV,"DRIVER GRP share price (DRV), Currency GBX"
LSE/DRS,"DRS DATA&RSRCH share price (DRS), Currency GBX"
LSE/DUC,Ducat Ventures Plc (DUC)
LSE/DNLM,"DUNELM share price (DNLM), Currency GBX"
LSE/ETX,"E-THERAPEUTICS share price (ETX), Currency GBX"
LSE/E2V,"E2V TECH share price (E2V), Currency GBX"
LSE/EPO,"EARTHPORT share price (EPO), Currency GBX"
LSE/EWR,AMBRIAN PLC share price (AMBR) (EWR)
LSE/ECX,Eastcoal Inc. Com Shs Npv (di) (ECX)
LSE/EZJ,"EASYJET share price (EZJ), Currency GBX"
LSE/EBQ,"EBIQUITY share price (EBQ), Currency GBX"
LSE/ECK,"ECKOH share price (ECK), Currency GBX"
LSE/BAR,"ECLECTIC BAR GP share price (BAR), Currency GBX"
LSE/EAH,"ECO ANIMAL share price (EAH), Currency GBX"
LSE/ECV,"ECO CITY share price (ECV), Currency GBX"
LSE/ECR,"ECR MINERALS share price (ECR), Currency GBX"
LSE/EDEN,"EDEN share price (EDEN), Currency GBX"
LSE/EDL,"EDENVILLE share price (EDL), Currency GBX"
LSE/EDG,"EDGE RES share price (EDG), Currency GBX"
